text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…,FALSE,0,NA,2021-12-06 4:04:31,FALSE,NA,1467706495638855688,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",graybeered42,649,TRUE,FALSE,NA,NA
"RT @mommamia1217: If you find it necessary to conceal your identity when defending your beliefs 

Take it has a warning that it’s time to r…",FALSE,0,NA,2021-12-06 4:04:29,FALSE,NA,1467706484507262976,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RitaWal86055923,163,TRUE,FALSE,NA,NA
RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #covid19 #corruption Wake #science #sciencewins #Australia #India #Ghana #…,FALSE,0,NA,2021-12-06 4:04:17,FALSE,NA,1467706435060436992,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ClareKuehn,5,TRUE,FALSE,NA,NA
RT @St3v3nicy: I never met a liberal I liked . #antifa #BlackLivesMatter #Feds #America https://t.co/rkc8SU3gPJ,FALSE,0,NA,2021-12-06 4:04:14,FALSE,NA,1467706424499355652,NA,"<a href=""https://missionimproxyble.com"" rel=""nofollow"">My1stNewApp</a>",JFSebastian146,2,TRUE,FALSE,NA,NA
RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #covid19 #corruption Wakey #science #Australia #India #Arizona #Israel #mu…,FALSE,0,NA,2021-12-06 4:03:48,FALSE,NA,1467706315623391237,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ClareKuehn,3,TRUE,FALSE,NA,NA
RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #health #covid19 #Covid_19 #cancer #corruption Wake #sci…,FALSE,0,NA,2021-12-06 4:03:26,FALSE,NA,1467706222308577283,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ClareKuehn,4,TRUE,FALSE,NA,NA
RT @Xena007911: @AttorneyCrump This was posted on my LinkedIn thread this morning…. And I felt like this basically sums everything up prett…,FALSE,0,NA,2021-12-06 4:03:21,FALSE,NA,1467706200733229061,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",IgnoranceKillz,34,TRUE,FALSE,NA,NA
"RT @ClareKuehn: #BlackLivesMatter #NICKIMINAJ #MAGA #2A #ALBERTA
BULL CRAP. Assassinated President Magafuli, Tanzania discovered animals &amp;…",FALSE,0,NA,2021-12-06 4:03:18,FALSE,NA,1467706186900381703,NA,"<a href=""https://missionimproxyble.com"" rel=""nofollow"">My1stNewApp</a>",JFSebastian146,3,TRUE,FALSE,NA,NA
Jesus determined on final lap to save souls (despite Satan's tactics) to get everyone over the finishing line by em… https://t.co/WwQEm4fPCi,FALSE,0,NA,2021-12-06 4:03:17,TRUE,NA,1467706184824233985,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",inartfairNYK,0,FALSE,FALSE,NA,NA
"RT @Tinu: Our people can’t be getting evicted y’all. Disabled people have enough problems without being unhoused!

This is 20 people with $…",FALSE,0,NA,2021-12-06 4:03:16,FALSE,NA,1467706180927725572,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RoseAndWolf_,32,TRUE,FALSE,NA,NA
RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #covid19 #corruption Wakey #science #sciencewins #India #Ghana #A…,FALSE,0,NA,2021-12-06 4:03:13,FALSE,NA,1467706165484089347,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ClareKuehn,2,TRUE,FALSE,NA,NA
@DouglasEmhoff @POTUS @VP @SpeakerPelosi Reparations for Black people! We will never forget! #BlackLivesMatter,FALSE,0,DouglasEmhoff,2021-12-06 4:03:04,FALSE,1467669876814888964,1467706128578531334,260759782,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",melmeldc,0,FALSE,FALSE,NA,NA
RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #health #covid19 #Covid_19 #cancer #corruption Wakey #sc…,FALSE,0,NA,2021-12-06 4:02:49,FALSE,NA,1467706065475162116,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ClareKuehn,2,TRUE,FALSE,NA,NA
"RT @Tinu: Our people can’t be getting evicted y’all. Disabled people have enough problems without being unhoused!

This is 20 people with $…",FALSE,0,NA,2021-12-06 4:02:29,FALSE,NA,1467705980578193409,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bibicosplays,32,TRUE,FALSE,NA,NA
RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #health #covid19 #Covid_19 #cancer #corruption Wakey #sc…,FALSE,0,NA,2021-12-06 4:02:26,FALSE,NA,1467705971812315136,NA,"<a href=""https://missionimproxyble.com"" rel=""nofollow"">My1stNewApp</a>",JFSebastian146,3,TRUE,FALSE,NA,NA
